date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2012-08-17,Eskisehirspor,Akhisar Belediyespor,0,1,Super Lig,,Turkey,False
2012-08-18,Elazigspor,Fenerbahçe,1,1,Super Lig,,Turkey,False
2012-08-18,Gaziantepspor,Sivasspor,0,1,Super Lig,,Turkey,False
2012-08-18,Karabukspor,Trabzonspor,1,1,Super Lig,,Turkey,False
2012-08-19,Başakşehir,Beşiktaş,1,1,Super Lig,,Turkey,False
2012-08-19,Kayserispor,Bursaspor,0,1,Super Lig,,Turkey,False
2012-08-19,Mersin Idman Yurdu,Orduspor,0,0,Super Lig,,Turkey,False
2012-08-20,Galatasaray,Kasımpaşa,2,1,Super Lig,,Turkey,False
2012-08-20,Gençlerbirliği,Antalyaspor,3,1,Super Lig,,Turkey,False
2012-08-24,Kasımpaşa,Karabukspor,2,1,Super Lig,,Turkey,False
2012-08-25,Akhisar Belediyespor,Gençlerbirliği,0,0,Super Lig,,Turkey,False
2012-08-25,Fenerbahçe,Gaziantepspor,3,0,Super Lig,,Turkey,False
2012-08-25,Orduspor,Eskisehirspor,2,0,Super Lig,,Turkey,False
2012-08-25,Sivasspor,Mersin Idman Yurdu,3,3,Super Lig,,Turkey,False
2012-08-26,Beşiktaş,Galatasaray,3,3,Super Lig,,Turkey,False
2012-08-26,Bursaspor,Başakşehir,0,1,Super Lig,,Turkey,False
2012-08-26,Trabzonspor,Elazigspor,2,0,Super Lig,,Turkey,False
2012-08-27,Antalyaspor,Kayserispor,3,0,Super Lig,,Turkey,False
2012-08-31,Gençlerbirliği,Orduspor,1,1,Super Lig,,Turkey,False
2012-08-31,Mersin Idman Yurdu,Eskisehirspor,1,3,Super Lig,,Turkey,False
2012-09-01,Başakşehir,Antalyaspor,0,1,Super Lig,,Turkey,False
2012-09-01,Elazigspor,Kasımpaşa,0,3,Super Lig,,Turkey,False
2012-09-01,Karabukspor,Beşiktaş,0,3,Super Lig,,Turkey,False
2012-09-01,Kayserispor,Akhisar Belediyespor,1,1,Super Lig,,Turkey,False
2012-09-02,Galatasaray,Bursaspor,3,2,Super Lig,,Turkey,False
2012-09-02,Gaziantepspor,Trabzonspor,1,0,Super Lig,,Turkey,False
2012-09-02,Sivasspor,Fenerbahçe,0,0,Super Lig,,Turkey,False
2012-09-15,Antalyaspor,Galatasaray,0,4,Super Lig,,Turkey,False
2012-09-15,Bursaspor,Karabukspor,4,1,Super Lig,,Turkey,False
2012-09-15,Kasımpaşa,Gaziantepspor,3,0,Super Lig,,Turkey,False
2012-09-16,Akhisar Belediyespor,Başakşehir,0,4,Super Lig,,Turkey,False
2012-09-16,Eskisehirspor,Gençlerbirliği,4,2,Super Lig,,Turkey,False
2012-09-16,Fenerbahçe,Mersin Idman Yurdu,2,1,Super Lig,,Turkey,False
2012-09-16,Trabzonspor,Sivasspor,1,0,Super Lig,,Turkey,False
2012-09-17,Beşiktaş,Elazigspor,3,0,Super Lig,,Turkey,False
2012-09-17,Orduspor,Kayserispor,3,2,Super Lig,,Turkey,False
2012-09-21,Karabukspor,Antalyaspor,1,0,Super Lig,,Turkey,False
2012-09-22,Başakşehir,Orduspor,1,1,Super Lig,,Turkey,False
2012-09-22,Gaziantepspor,Beşiktaş,3,2,Super Lig,,Turkey,False
2012-09-22,Kayserispor,Eskisehirspor,3,2,Super Lig,,Turkey,False
2012-09-22,Mersin Idman Yurdu,Gençlerbirliği,1,1,Super Lig,,Turkey,False
2012-09-23,Elazigspor,Bursaspor,1,1,Super Lig,,Turkey,False
2012-09-23,Galatasaray,Akhisar Belediyespor,3,0,Super Lig,,Turkey,False
2012-09-23,Sivasspor,Kasımpaşa,1,0,Super Lig,,Turkey,False
2012-09-24,Fenerbahçe,Trabzonspor,0,0,Super Lig,,Turkey,False
2012-09-28,Orduspor,Galatasaray,2,0,Super Lig,,Turkey,False
2012-09-29,Akhisar Belediyespor,Karabukspor,1,3,Super Lig,,Turkey,False
2012-09-29,Bursaspor,Gaziantepspor,1,1,Super Lig,,Turkey,False
2012-09-29,Kasımpaşa,Fenerbahçe,2,0,Super Lig,,Turkey,False
2012-09-30,Antalyaspor,Elazigspor,4,0,Super Lig,,Turkey,False
2012-09-30,Eskisehirspor,Başakşehir,1,0,Super Lig,,Turkey,False
2012-09-30,Gençlerbirliği,Kayserispor,4,0,Super Lig,,Turkey,False
2012-09-30,Trabzonspor,Mersin Idman Yurdu,1,1,Super Lig,,Turkey,False
2012-10-01,Beşiktaş,Sivasspor,0,1,Super Lig,,Turkey,False
2012-10-05,Gaziantepspor,Antalyaspor,0,1,Super Lig,,Turkey,False
2012-10-05,Karabukspor,Orduspor,1,1,Super Lig,,Turkey,False
2012-10-05,Trabzonspor,Kasımpaşa,1,0,Super Lig,,Turkey,False
2012-10-06,Başakşehir,Gençlerbirliği,0,2,Super Lig,,Turkey,False
2012-10-06,Elazigspor,Akhisar Belediyespor,0,0,Super Lig,,Turkey,False
2012-10-06,Galatasaray,Eskisehirspor,1,1,Super Lig,,Turkey,False
2012-10-07,Fenerbahçe,Beşiktaş,3,0,Super Lig,,Turkey,False
2012-10-07,Mersin Idman Yurdu,Kayserispor,1,2,Super Lig,,Turkey,False
2012-10-07,Sivasspor,Bursaspor,2,2,Super Lig,,Turkey,False
2012-10-19,Gençlerbirliği,Galatasaray,3,3,Super Lig,,Turkey,False
2012-10-20,Antalyaspor,Sivasspor,4,2,Super Lig,,Turkey,False
2012-10-20,Bursaspor,Fenerbahçe,1,1,Super Lig,,Turkey,False
2012-10-20,Orduspor,Elazigspor,2,2,Super Lig,,Turkey,False
2012-10-21,Akhisar Belediyespor,Gaziantepspor,0,0,Super Lig,,Turkey,False
2012-10-21,Beşiktaş,Trabzonspor,1,1,Super Lig,,Turkey,False
2012-10-21,Eskisehirspor,Karabukspor,5,2,Super Lig,,Turkey,False
2012-10-21,Kasımpaşa,Mersin Idman Yurdu,2,2,Super Lig,,Turkey,False
2012-10-22,Kayserispor,Başakşehir,0,1,Super Lig,,Turkey,False
2012-10-26,Elazigspor,Eskisehirspor,1,1,Super Lig,,Turkey,False
2012-10-26,Kasımpaşa,Beşiktaş,1,3,Super Lig,,Turkey,False
2012-10-27,Galatasaray,Kayserispor,3,0,Super Lig,,Turkey,False
2012-10-27,Mersin Idman Yurdu,Başakşehir,2,0,Super Lig,,Turkey,False
2012-10-27,Sivasspor,Akhisar Belediyespor,1,2,Super Lig,,Turkey,False
2012-10-28,Gaziantepspor,Orduspor,3,0,Super Lig,,Turkey,False
2012-10-28,Karabukspor,Gençlerbirliği,0,0,Super Lig,,Turkey,False
2012-10-28,Trabzonspor,Bursaspor,0,1,Super Lig,,Turkey,False
2012-10-29,Fenerbahçe,Antalyaspor,1,3,Super Lig,,Turkey,False
2012-11-02,Başakşehir,Galatasaray,1,3,Super Lig,,Turkey,False
2012-11-03,Akhisar Belediyespor,Fenerbahçe,1,2,Super Lig,,Turkey,False
2012-11-03,Eskisehirspor,Gaziantepspor,4,0,Super Lig,,Turkey,False
2012-11-03,Kayserispor,Karabukspor,3,0,Super Lig,,Turkey,False
